id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint
164027473,20000,20000,20000, 36 months,0.124,668.12,B,B4,,< 1 year,RENT,13000,Verified,44184,Current,n,small_business,Business,986xx,WA,79.59,0,44175,665,669,2,,94,6,1,12325,0.593,9,f,19538.55,19538.55,647.45,647.45,461.45,186,0,0,0,43881,0,43910,43850,679,675,0,,1,Joint App,141000,16.59,Source Verified
163984413,16500,16500,16500, 60 months,0.1033,353.27,B,B1,,n/a,MORTGAGE,26000,Source Verified,44184,Current,n,debt_consolidation,Debt consolidation,535xx,WI,46.17,0,43866,775,779,0,,,8,0,15000,0.309,13,w,16288.77,16288.77,339.07,339.07,211.23,127.84,0,0,0,43881,0,43910,43850,794,790,0,,1,Joint App,88000,18.83,
164193225,7500,7500,7500, 36 months,0.124,250.55,B,B4,Rn,7 years,RENT,159000,Verified,44184,Current,n,credit_card,Credit card refinancing,946xx,CA,5.83,0,35674,710,714,1,27,,18,0,16195,0.307,34,w,6725.61,6725.61,842.8,842.8,774.39,68.41,0,0,0,43881,0,43910,43850,714,710,0,29,1,Individual,,,
162948736,19000,19000,18975, 36 months,0.0646,581.99,A,A1,Tech Ops Analyst,10+ years,MORTGAGE,83000,Verified,44184,Current,n,debt_consolidation,Debt consolidation,430xx,OH,20.68,0,35582,785,789,1,,,7,0,11068,0.288,10,f,17986.58,17962.92,1153.75,1152.23,1013.42,140.33,0,0,0,43881,581.99,43910,43881,799,795,0,,1,Joint App,83000,23.45,
164161686,10000,10000,10000, 36 months,0.2055,374.45,D,D2,Planner,10+ years,MORTGAGE,110000,Source Verified,44184,Current,n,debt_consolidation,Debt consolidation,762xx,TX,23.58,0,43867,765,769,1,,,14,0,4941,0.184,35,f,9796.8,9796.8,357.33,357.33,203.2,154.13,0,0,0,43881,0,43910,43881,739,735,0,,1,Individual,,,
164131732,15000,15000,15000, 36 months,0.0702,463.3,A,A2,Program Manager,5 years,MORTGAGE,129000,Source Verified,44184,Current,n,credit_card,Credit card refinancing,310xx,GA,28.45,0,44049,770,774,0,,,19,0,11023,0.2,40,w,14624.45,14624.45,454.52,454.52,375.55,78.97,0,0,0,43881,0,43910,43850,774,770,0,,1,Individual,,,
163700585,11200,11200,11200, 60 months,0.1524,267.87,C,C2,PMO,10+ years,MORTGAGE,46000,Verified,44184,Current,n,debt_consolidation,Debt consolidation,433xx,OH,20.64,0,36831,660,664,0,,77,7,1,8071,0.572,14,w,11074.37,11074.37,253.65,253.65,125.63,128.02,0,0,0,43881,0,43910,43850,664,660,0,,1,Individual,,,
164066748,15000,15000,15000, 36 months,0.0646,459.47,A,A1,Supervising Paralegal,10+ years,MORTGAGE,88165,Not Verified,44184,Current,n,debt_consolidation,Debt consolidation,917xx,CA,16.71,0,44078,690,694,1,80,76,11,1,3739,0.334,29,w,14621.28,14621.28,451.39,451.39,378.72,72.67,0,0,0,43881,0,43910,43850,694,690,0,,1,Joint App,145328,11.82,
164012431,21325,21325,21325, 60 months,0.1308,486.09,B,B5,Senior Accountant,3 years,MORTGAGE,87000,Verified,44184,Current,n,home_improvement,Home improvement,105xx,NY,52.39,0,32387,725,729,0,,,18,0,125907,0.448,25,w,21071.35,21071.35,462.85,462.85,253.65,209.2,0,0,0,43881,0,43910,43850,729,725,0,,1,Joint App,245000,31.99,Verified
163477201,5000,5000,5000, 36 months,0.1774,180.12,C,C5,Lead Mtc Tech,2 years,RENT,50000,Source Verified,44184,Current,n,debt_consolidation,Debt consolidation,128xx,NY,15.17,0,43959,685,689,1,,,4,0,2453,0.818,6,f,4930.76,4930.76,172.73,172.73,69.24,103.49,0,0,0,43881,180.12,43910,43850,694,690,0,,1,Individual,,,
164137439,33000,33000,33000, 60 months,0.1524,789.24,C,C2,Financial Analyst,10+ years,MORTGAGE,84000,Source Verified,44184,Current,n,credit_card,Credit card refinancing,480xx,MI,35.07,0,32478,695,699,0,,,26,0,79282,0.464,50,w,32629.86,32629.86,747.33,747.33,370.14,377.19,0,0,0,43881,0,43910,43850,714,710,0,,1,Individual,,,
163564694,23000,23000,23000, 36 months,0.0646,704.51,A,A1,,< 1 year,MORTGAGE,150000,Not Verified,44184,Current,n,debt_consolidation,Debt consolidation,331xx,FL,30.25,0,34394,825,829,1,,,7,0,329508,0.022,18,w,22419.31,22419.31,692.13,692.13,580.69,111.44,0,0,0,43881,0,43910,43850,814,810,0,,1,Joint App,192000,27.62,
164141013,9800,9800,9800, 36 months,0.2305,379.62,D,D3,Area Manager,4 years,RENT,120000,Not Verified,44184,Current,n,medical,Medical expenses,015xx,MA,21.48,2,36831,665,669,0,8,,15,0,22971,0.656,24,w,9608.62,9608.62,360.8,360.8,191.38,169.42,0,0,0,43881,0,43910,43850,674,670,0,,1,Individual,,,
164192318,3000,3000,3000, 36 months,0.1695,106.89,C,C4,Customer Service,10+ years,RENT,57600,Not Verified,44184,Current,n,major_purchase,Major purchase,940xx,CA,14.52,0,43996,705,709,1,,65,17,1,4376,0.148,26,w,2949.61,2949.61,102.65,102.65,50.39,52.26,0,0,0,43881,106.89,43910,43850,709,705,0,,1,Individual,,,
163607777,25000,25000,25000, 60 months,0.1033,535.25,B,B1,Industrial electrician ,< 1 year,MORTGAGE,110000,Source Verified,44184,Current,n,credit_card,Credit card refinancing,534xx,WI,3.13,0,34243,680,684,0,,70,6,1,12697,0.492,15,w,24679.96,24679.96,513.73,513.73,320.04,193.69,0,0,0,43881,0,43910,43850,684,680,0,,1,Individual,,,
162765314,12000,12000,12000, 60 months,0.1774,303.03,C,C5,registered nurse,8 years,RENT,75000,Verified,44184,Current,n,credit_card,Credit card refinancing,337xx,FL,32.96,0,35490,685,689,1,34,,22,0,17006,0.31,47,w,11874.37,11874.37,285.29,285.29,125.63,159.66,0,0,0,43881,0,43910,43850,699,695,0,50,1,Joint App,175000,21.77,Source Verified
163109559,28000,28000,28000, 36 months,0.1612,986.06,C,C3,Driver,6 years,RENT,65000,Verified,44184,Current,n,debt_consolidation,Debt consolidation,070xx,NJ,35.28,1,43896,690,694,1,15,,25,0,18968,0.257,49,f,27390.07,27390.07,948.45,948.45,609.93,338.52,0,0,0,43881,0,43910,43850,689,685,0,15,1,Individual,,,
164024547,3000,3000,3000, 36 months,0.2305,116.21,D,D3,,n/a,OWN,24000,Not Verified,44184,Current,n,car,Car financing,840xx,UT,23.6,0,43956,665,669,1,33,,9,0,3564,0.891,16,w,2949.1,2949.1,110.45,110.45,50.9,59.55,0,0,0,43881,116.21,43910,43850,659,655,0,33,1,Individual,,,
163665104,19000,19000,18975, 36 months,0.1774,684.42,C,C5,Practice Administrator ,2 years,OWN,110000,Source Verified,44184,Current,n,credit_card,Credit card refinancing,193xx,PA,16.14,0,44076,660,664,1,,,24,0,31903,0.633,41,f,18596.46,18571.99,656.33,655.47,403.54,252.79,0,0,0,43881,0,43910,43850,654,650,0,,1,Individual,,,
164184761,6300,6300,6300, 36 months,0.1695,224.46,C,C4,Operations supervisor ,8 years,RENT,74000,Source Verified,44184,Current,n,debt_consolidation,Debt consolidation,600xx,IL,18.34,0,44115,680,684,1,,,8,0,5907,0.748,10,w,6164.53,6164.53,215.56,215.56,135.47,80.09,0,0,0,43881,0,43910,43850,684,680,0,,1,Individual,,,
163856284,1200,1200,1200, 36 months,0.124,40.09,B,B4,Nosal man,10+ years,MORTGAGE,90000,Source Verified,44184,Current,n,other,Other,953xx,CA,6.29,1,43987,660,664,0,4,,11,0,4649,0.273,20,f,1172.31,1172.31,38.85,38.85,27.69,11.16,0,0,0,43881,0,43910,43850,654,650,0,,1,Individual,,,
162887914,20000,20000,20000, 60 months,0.1308,455.89,B,B5,Long Haul Driver,2 years,MORTGAGE,149000,Not Verified,44184,Current,n,debt_consolidation,Debt consolidation,210xx,MD,9.6,0,43952,685,689,0,25,,9,0,17274,0.43,34,w,19762.11,19762.11,434.09,434.09,237.89,196.2,0,0,0,43881,0,43910,43850,699,695,0,,1,Individual,,,
164178849,19000,19000,19000, 60 months,0.1308,433.09,B,B5,Professor,4 years,RENT,89000,Not Verified,44184,Current,n,debt_consolidation,Debt consolidation,485xx,MI,15.55,0,44145,710,714,0,,,11,0,17157,0.453,16,w,18774.01,18774.01,412.38,412.38,225.99,186.39,0,0,0,43881,0,43910,43850,714,710,0,,1,Individual,,,
163068327,10900,10900,10900, 36 months,0.1774,392.65,C,C5,,n/a,MORTGAGE,80000,Verified,44184,Current,n,debt_consolidation,Debt consolidation,891xx,NV,34.67,0,43899,665,669,3,44,,10,0,9156,0.721,23,f,10668.49,10668.49,376.54,376.54,231.51,145.03,0,0,0,43881,0,43910,43850,664,660,0,,1,Individual,,,
163891963,10000,10000,10000, 36 months,0.0702,308.87,A,A2,Remodeling tech,< 1 year,MORTGAGE,58240,Source Verified,44184,Current,n,debt_consolidation,Debt consolidation,921xx,CA,21.12,0,43927,715,719,1,,,8,0,49202,0.791,17,w,9749.63,9749.63,303.02,303.02,250.37,52.65,0,0,0,43881,0,43910,43850,719,715,0,,1,Individual,,,
