Code,Name,Close,Location,Industry,List_date,EPS_2018,EPS_2017,EPS_2016,EPS_2015,EPS_2014,EPS_2013,EPS_2012,EPS_2011,EPS_2010,EPS_2009,EPS_2008,EPS_2007,EPS_2006,Profit,AVG_EPS_2016_18,AVG_EPS_2011_13,Net_Asset,Div,Dividend,PE1618,Div_Rate,Growth,Liquidate_Ratio,Assest_Over_Debt,PB,Mkt_value,市值>500亿,PE<15,流动比例>2,Y6,市净率<1.5,上市超过6年,PB<1.5的沪深300,PE*PB<22.5
000001.SZ,平安银行,13.95,广东,银行,1991-04-03,1.39,1.3,1.32,1.56,1.73,1.86,2.62,2.47,1.91,1.62,0.2,1.22,0.67,1,1.336666667,2.316666667,12.82,是,1,10.43640898,10.03187061,-0.423021583,0.00%,0,1.088143526,2.97E+11,1.00E+00,1,0,1,1,1,1,1
000002.SZ,万  科Ａ,26.26,广东,房地产,1991-01-29,3.06,2.54,1.9,1.64,1.43,1.37,1.14,0.88,0.66,0.48,0.37,0.73,0,1,2.5,1.13,14.11,是,1,10.504,34.97472561,1.212389381,120.09%,5.460949381,1.861091425,3.13E+11,1.00E+00,1,0,1,0,1,0,1
000004.SZ,国农科技,29.09,广东,医药生物,1991-01-14,-0.2414,0.102,0.468,0.0149,0.05,-0.0123,0.0239,0.0356,0.1384,0.0294,-0.1324,-0.1104,0,0,0.109533333,0.015733333,1.3008,-,0,265.5812538,0,5.961864407,206.90%,-1.0104102,22.36316113,1671975778,0,0,1,1,0,1,0,0
000005.SZ,世纪星源,2.7,广东,公用事业,1990-12-10,0.1406,0.0145,0.1026,-0.0596,0.0472,-0.0463,0.0241,0.0125,0.005,-0.054,0.01,0.08,0,0,0.0859,-0.003233333,1.4069,-,0,31.43189756,0,-27.56701031,86.06%,1.92074527,1.919112943,3101512947,0,0,0,1,0,1,0,0
000006.SZ,深振业Ａ,4.94,广东,房地产,1992-04-27,0.6476,0.5968,0.5767,0.3087,0.3763,0.5156,0.48,0.4388,0.633,0.64,0.2962,1.02,0,1,0.607033333,0.478133333,4.5909,是,1,8.137938609,30.11164377,0.269590073,166.52%,7.027855246,1.076041735,6911974636,0,1,0,1,1,1,1,1
000007.SZ,全 新 好,7.89,广东,商业贸易,1992-04-13,-0.57,0.0475,0.3378,0.0606,-0.1307,0.1007,0.0378,0.0269,0.064,0.1413,-0.331,0.0625,0,0,-0.061566667,0.055133333,0.5505,-,0,10000,0,-2.11668682,372.05%,-42.18186474,14.33242507,3467944920,0,0,1,1,0,1,0,0
000008.SZ,神州高铁,3.15,北京,机械设备,1992-05-07,0.116,0.311,0.192,0.078,0.03,0.07,0.26,-0.0073,0.0121,0.0043,0.01,0.02,0,1,0.206333333,0.107566667,2.6298,是,1,15.26655897,8.498175179,0.91819027,189.03%,17.80998392,1.197809719,9760591664,0,0,0,1,1,1,1,1
000009.SZ,中国宝安,7.43,广东,综合,1991-06-25,0.1,0.06,0.11,0.5,0.2,0.23,0.15,0.25,0.3,0.23,0.19,0.24,0,1,0.09,0.21,2.4522,是,1,82.55555556,20.10795297,-0.571428571,164.16%,0.357767724,3.029932306,11529086424,0,0,0,1,0,1,0,0
000010.SZ,美丽生态,4.18,广东,建筑装饰,1995-10-27,-0.8922,-1.2947,0.0486,0.0542,-0.1268,0.0053,0.01,0.03,-0.01,0.05,0.11,-0.2,0,0,-0.712766667,0.0151,0.5115,-,0,10000,0,-48.20309051,154.26%,2.669193313,8.172043011,2705520553,0,0,0,1,0,1,0,0
000011.SZ,深物业Ａ,9.06,广东,房地产,1992-03-30,0.9945,1.0453,0.5954,0.2631,0.7005,0.5048,0.6299,0.43,0.2936,0.1626,0.0181,-0.0505,0,1,0.8784,0.521566667,5.6008,是,1,10.31420765,30.16475999,0.684156707,186.48%,-1.022495427,1.617626053,5369771619,0,1,0,1,0,1,0,1
